epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.49906,1.77865,3.05632,1.42005,0.38366,0.2443,0.23997,0.11742,1.52277,2.20795,1.21833,0.0001,0.0001,0.0001
2,7.55417,1.52278,1.63761,1.2876,0.67803,0.57247,0.66445,0.40305,1.24309,2.17578,1.14758,0.000218548,0.000218548,0.000218548
3,10.4563,1.42187,1.14146,1.12912,0.64398,0.65861,0.70709,0.44083,1.19654,1.93552,1.07873,0.000335512,0.000335512,0.000335512
4,13.1602,1.25701,0.9596,1.06156,0.69309,0.64125,0.71385,0.43156,1.28289,1.90709,1.10312,0.000450892,0.000450892,0.000450892
5,16.0261,1.23757,0.95401,1.06898,0.81708,0.66955,0.7881,0.49026,1.17345,1.13694,1.04171,0.000564688,0.000564688,0.000564688
6,19.3297,1.21567,0.83586,1.0266,0.79952,0.7124,0.81335,0.52425,1.10532,1.06707,1.00333,0.0006769,0.0006769,0.0006769
7,22.0383,1.18709,0.83792,1.01744,0.78111,0.72516,0.81207,0.5327,1.09523,0.97466,0.99761,0.000787528,0.000787528,0.000787528
8,24.1951,1.18346,0.7963,1.03233,0.8163,0.71969,0.82179,0.51513,1.13663,0.98553,1.01104,0.000896572,0.000896572,0.000896572
9,26.3287,1.17859,0.77423,1.00111,0.80392,0.69508,0.80823,0.50993,1.16453,1.01358,1.03358,0.00100403,0.00100403,0.00100403
10,28.4373,1.109,0.73651,0.99635,0.78915,0.73564,0.82378,0.54553,1.08887,0.86553,0.99334,0.00110991,0.00110991,0.00110991
11,30.6009,1.08887,0.74082,0.99036,0.74469,0.72057,0.73824,0.46486,1.1547,1.10255,1.02751,0.0012142,0.0012142,0.0012142
12,32.9649,1.14865,0.75973,0.98973,0.81502,0.7794,0.85882,0.58419,1.04204,1.18148,0.98231,0.00131691,0.00131691,0.00131691
13,35.2467,1.10723,0.75173,0.98451,0.80303,0.69736,0.79502,0.53511,1.06462,1.01479,0.99036,0.00141803,0.00141803,0.00141803
14,37.4747,1.08793,0.71982,0.97684,0.76089,0.76026,0.78386,0.50558,1.11446,1.17866,1.01537,0.00151757,0.00151757,0.00151757
15,39.8134,1.09629,0.71757,0.97648,0.80814,0.76937,0.8509,0.58183,1.02622,0.94819,0.98627,0.00161553,0.00161553,0.00161553
16,42.3875,1.05428,0.70167,0.97737,0.83032,0.80994,0.87355,0.61622,0.97199,1.0239,0.95323,0.0017119,0.0017119,0.0017119
17,45.2533,1.0388,0.75964,0.96771,0.8654,0.78624,0.87418,0.60917,0.99983,0.83747,0.96431,0.0017888,0.0017888,0.0017888
18,47.807,0.99459,0.71363,0.96195,0.74584,0.77845,0.80485,0.56489,0.996,0.80844,0.95616,0.0017756,0.0017756,0.0017756
19,49.8416,1.03827,0.6758,0.96671,0.80618,0.7598,0.85418,0.60977,0.98362,0.86876,0.96139,0.0017624,0.0017624,0.0017624
20,51.9634,1.04918,0.69878,0.9539,0.83575,0.77758,0.85798,0.60046,0.99007,0.92623,0.95701,0.0017492,0.0017492,0.0017492
21,54.0144,1.06105,0.69141,0.95877,0.83564,0.78897,0.86231,0.5912,1.05369,0.77842,0.96675,0.001736,0.001736,0.001736
22,56.1502,1.05367,0.71406,0.96209,0.84098,0.79542,0.87279,0.62154,0.94486,0.72543,0.93956,0.0017228,0.0017228,0.0017228
23,58.4394,1.00042,0.64399,0.94595,0.87315,0.82999,0.89884,0.64537,0.94858,0.75131,0.93459,0.0017096,0.0017096,0.0017096
24,60.5909,0.99592,0.65378,0.95027,0.85506,0.82407,0.8875,0.65154,0.86527,0.6328,0.90683,0.0016964,0.0016964,0.0016964
25,62.8002,0.9946,0.65943,0.93716,0.83576,0.84425,0.88752,0.63492,0.93986,0.64179,0.91636,0.0016832,0.0016832,0.0016832
26,65.1144,0.96982,0.62229,0.94348,0.87354,0.82805,0.90517,0.66992,0.85223,0.59957,0.90501,0.00167,0.00167,0.00167
27,67.4492,0.94793,0.61321,0.93036,0.87618,0.8423,0.91319,0.67768,0.84882,0.5944,0.90449,0.0016568,0.0016568,0.0016568
28,69.8885,0.91905,0.60492,0.93283,0.84211,0.87515,0.90492,0.65898,0.88592,0.57911,0.90982,0.0016436,0.0016436,0.0016436
29,72.2033,0.96338,0.61652,0.93096,0.8585,0.86463,0.90171,0.67589,0.84654,0.56932,0.90289,0.0016304,0.0016304,0.0016304
30,74.5473,0.88418,0.5816,0.91648,0.88928,0.86028,0.92,0.6926,0.84162,0.58024,0.90439,0.0016172,0.0016172,0.0016172
31,76.624,0.90276,0.59448,0.92437,0.88456,0.87922,0.92347,0.70669,0.80982,0.56167,0.8989,0.001604,0.001604,0.001604
32,78.6908,0.91901,0.60336,0.93222,0.89032,0.86828,0.92378,0.70721,0.81276,0.55555,0.89374,0.0015908,0.0015908,0.0015908
33,80.7576,0.87531,0.58806,0.92429,0.8846,0.87342,0.92501,0.71421,0.79049,0.54625,0.88862,0.0015776,0.0015776,0.0015776
34,82.8736,0.91998,0.60521,0.92876,0.89247,0.87101,0.92726,0.70861,0.8132,0.54244,0.88949,0.0015644,0.0015644,0.0015644
35,84.9066,0.93865,0.6024,0.92716,0.88991,0.88053,0.92741,0.70699,0.79974,0.54828,0.88431,0.0015512,0.0015512,0.0015512
36,86.9611,0.90938,0.5988,0.92292,0.89022,0.87511,0.92914,0.70778,0.80154,0.55751,0.89017,0.001538,0.001538,0.001538
37,89.0289,0.90511,0.58686,0.92553,0.88112,0.88169,0.92597,0.70711,0.79932,0.55047,0.88997,0.0015248,0.0015248,0.0015248
38,91.0501,0.91911,0.58561,0.93269,0.88952,0.87557,0.93515,0.70882,0.81448,0.55353,0.89158,0.0015116,0.0015116,0.0015116
39,93.0759,0.89456,0.5984,0.91815,0.88943,0.88359,0.93654,0.7192,0.79592,0.55035,0.8868,0.0014984,0.0014984,0.0014984
40,95.1667,0.88774,0.58229,0.92481,0.89786,0.87343,0.9333,0.71925,0.79672,0.5353,0.88235,0.0014852,0.0014852,0.0014852
