epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.7546,1.69446,2.34511,1.37508,0.52566,0.49225,0.5389,0.32739,1.27047,3.84018,1.18806,0.0002,0.0002,0.0002
2,8.21209,1.48468,1.1671,1.1547,0.53756,0.58334,0.57608,0.30187,1.67308,3.26587,1.32883,0.000415842,0.000415842,0.000415842
3,11.4315,1.46312,1.0467,1.11564,0.6465,0.70875,0.74579,0.43667,1.41247,1.37626,1.16695,0.000627328,0.000627328,0.000627328
4,14.4655,1.28821,0.92696,1.07851,0.71682,0.66803,0.75495,0.4854,1.16535,1.14507,1.06922,0.000834458,0.000834458,0.000834458
5,17.979,1.21557,0.85055,1.03967,0.78761,0.72511,0.76447,0.47186,1.13919,0.94697,1.01749,0.00103723,0.00103723,0.00103723
6,20.7719,1.29197,0.87248,1.07686,0.74961,0.74476,0.76538,0.4896,1.11507,1.06348,1.02,0.00123565,0.00123565,0.00123565
7,23.1047,1.1766,0.82196,1.03543,0.66079,0.70966,0.62062,0.37395,1.16104,1.56921,1.03167,0.00142971,0.00142971,0.00142971
8,25.2668,1.24963,0.82888,1.05407,0.69039,0.72607,0.69297,0.42487,1.11255,1.12247,1.00525,0.00161942,0.00161942,0.00161942
9,27.4952,1.23612,0.83626,1.04832,0.79527,0.78715,0.84022,0.55934,1.0729,0.85468,1.00102,0.00180477,0.00180477,0.00180477
10,29.6721,1.20554,0.7645,1.02024,0.78738,0.76618,0.82444,0.56044,1.06635,0.84327,0.99358,0.0018218,0.0018218,0.0018218
11,31.7596,1.18443,0.77709,1.02216,0.8176,0.7598,0.85565,0.58048,1.03169,0.75641,0.9638,0.001802,0.001802,0.001802
12,33.875,1.11656,0.7285,0.99676,0.85886,0.78215,0.87484,0.59887,1.01409,0.81714,0.97407,0.0017822,0.0017822,0.0017822
13,36.0801,1.10096,0.72391,0.98754,0.8361,0.78624,0.87212,0.61466,0.9677,0.73682,0.96254,0.0017624,0.0017624,0.0017624
14,38.1741,1.0797,0.69911,0.98941,0.83505,0.7822,0.87302,0.61219,0.98234,0.7405,0.95971,0.0017426,0.0017426,0.0017426
15,40.1885,1.12554,0.7479,1.0056,0.8581,0.78826,0.8737,0.61331,0.97188,0.71762,0.95591,0.0017228,0.0017228,0.0017228
16,42.2113,1.13346,0.72552,1.00606,0.84989,0.82064,0.88887,0.62291,0.97385,0.67289,0.94553,0.001703,0.001703,0.001703
17,44.2796,1.10182,0.70414,0.97987,0.86942,0.78396,0.88011,0.6124,1.00641,0.69224,0.96297,0.0016832,0.0016832,0.0016832
18,46.3696,1.08974,0.69307,0.97964,0.8708,0.7835,0.87209,0.61966,0.95785,0.67172,0.95253,0.0016634,0.0016634,0.0016634
19,48.4148,1.08423,0.66883,0.98003,0.87064,0.81905,0.88925,0.63916,0.91012,0.63925,0.93181,0.0016436,0.0016436,0.0016436
20,50.4921,1.01337,0.66168,0.9619,0.84481,0.82377,0.89351,0.64685,0.90321,0.62583,0.92396,0.0016238,0.0016238,0.0016238
21,52.6409,1.06134,0.66368,0.96453,0.85481,0.83181,0.89816,0.65757,0.88864,0.60873,0.91821,0.001604,0.001604,0.001604
